血統登録番号,StartDashScore,EarlyTrackingScore,DashMinusTracking,PastPositionScore,HistoryN,StructureSpread,Reliability,Type
2017100434,55.97,54.16,1.81,57.13,8,0.0445,48.0,バランス型
2017100467,48.33,43.93,4.39,25.99,2,0.125,33.3,バランス型
2017100950,51.33,51.33,0.0,41.18,1,0.0,7.0,バランス型
2017101002,57.08,55.79,1.29,60.6,5,0.0227,30.0,バランス型
2017101716,59.18,59.18,0.0,88.24,1,0.0,7.0,バランス型
2017102691,46.43,46.43,-0.0,11.76,1,0.0,7.0,バランス型
2017103171,57.21,57.21,-0.0,76.47,1,0.0,7.0,バランス型
2017103329,71.05,68.44,2.61,89.67,6,0.0506,46.3,バランス型
2017103822,51.02,51.02,0.0,44.67,2,0.0,11.7,バランス型
2017104248,33.04,37.65,-4.61,0.0,3,0.0446,30.9,バランス型
2017104452,48.69,36.24,12.45,29.54,8,0.1608,66.7,テン型
2017104554,50.36,48.98,1.39,42.55,3,0.055,34.6,バランス型
2017105384,57.21,57.21,-0.0,76.47,1,0.0,7.0,バランス型
2017106173,53.54,55.25,-1.7,55.67,6,0.1238,60.0,バランス型
2017106708,41.4,41.4,0.0,9.06,2,0.0,11.7,バランス型
2017110178,62.85,59.46,3.39,69.57,8,0.0743,64.6,バランス型
2014105389,63.54,58.45,5.09,100.0,1,0.0,7.0,バランス型
2014106068,54.81,54.09,0.72,60.0,1,0.0,7.0,バランス型
2015106163,44.38,44.16,0.22,34.84,8,0.0731,64.0,バランス型
2015106165,43.42,44.98,-1.56,34.51,8,0.1301,66.7,バランス型
2016103916,53.52,51.57,1.95,51.56,5,0.1792,55.6,バランス型
2016104002,53.89,50.71,3.18,51.28,6,0.0797,60.0,バランス型
2016104669,41.72,47.54,-5.82,0.0,1,0.0,7.0,バランス型
2016104968,44.28,42.64,1.64,33.23,8,0.1241,66.7,バランス型
2016105108,49.11,41.73,7.38,37.17,7,0.1025,63.6,バランス型
2016110010,47.04,45.76,1.27,37.01,5,0.1294,55.6,バランス型
2014100549,53.12,55.45,-2.33,54.96,8,0.0626,58.1,バランス型
2014106065,57.1,56.47,0.63,66.13,2,0.1292,33.3,バランス型
